team,award_name,year,event
frc1,Best Play of the Day Award,1998,1998cmp
frc1,Quality,1998,1998mi
frc1,Championship Winner,1999,1999cmp
frc1,Creativity,1999,1999il
frc1,Regional Finalist,1999,1999mi
frc1,Chairman's Award Finalist,2000,2000cmp
frc1,Best Offensive Round,2000,2000il
frc1,Most Photogenic Award,2000,2000il
frc1,Regional Finalist,2000,2000mi
frc1,Creativity,2000,2000mi
frc1,Best Offensive Round,2000,2000mi
frc1,Chairman's Award Finalist,2001,2001cmp
frc1,Regional Winner,2001,2001mi2
frc1,Regional Chairmans Award,2002,2002gl
frc1,DaimlerChrysler Team Spirit Award,2003,2003gl
frc1,Engineering Inspiration Award,2004,2004dt
frc1,General Motors Industrial Design,2005,2005gl
frc1,DaimlerChrysler Team Spirit Award,2006,2006il
frc1,Regional Engineering Inspiration Award,2008,2008dt
frc1,Johnson & Johnson Gracious Professionalism,2008,2008mo
frc1,Regional Finalist,2008,2008mo
frc1,Judges Award,2009,2009gg
frc1,Judges Award,2009,2009grl
frc1,Regional Finalist,2009,2009grl
frc1,Finalist,2010,2010dt
frc1,Engineering Inspiration,2010,2010dt
frc1,Regional Chairman's Award,2011,2011dt
frc1,Winner,2011,2011gg
frc1,Judges' Award,2012,2012oc1
frc1,Engineering Inspiration,2014,2014miwat
frc1,FIRST Dean's List Finalist Award,2016,2016micmp
frc1,District Engineering Inspiration Award,2016,2016miket
frc1,Imagery Award in honor of Jack Kamen,2016,2016mimar
frc1,Woodie Flowers Finalist Award,2017,2017micmp
frc1,Imagery Award in honor of Jack Kamen,2017,2017mihow
frc1,Imagery Award in honor of Jack Kamen,2019,2019micen
frc1,Innovation in Control Award,2022,2022miwal
frc1,Creativity Award sponsored by Rockwell Automation,2023,2023midet
frc1,District Event Winner,2024,2024miket
frc4,Regional Winner,2006,2006ca
frc4,Judge's Award (Day 1),2006,2006on
frc4,Regional Winner,2007,2007ca
frc4,Finalist,2010,2010nv
frc4,Industrial Safety Award sponsored by Underwriters Laboratories,2016,2016cave
frc4,Creativity Award sponsored by Xerox,2016,2016cave
frc4,Creativity Award sponsored by Xerox,2017,2017calb
frc4,Gracious Professionalism Award sponsored by Johnson & Johnson,2018,2018capo
frc4,Judge's Award,2019,2019cabl
frc4,Quality Award sponsored by Motorola Solutions Foundation,2019,2019caln
frc4,Regional Winners,2020,2020caln
frc4,Imagery Award in honor of Jack Kamen,2020,2020caln
frc4,Winner,2021,2021cabl
frc4,Concept Award,2021,2021gamf
frc4,Winner,2022,2022catt
frc4,Engineering Inspiration Award,2023,2023arc
frc4,Regional FIRST Impact Award,2023,2023caph
frc4,Regional Winners,2023,2023cave
frc4,Gracious Professionalism Award,2023,2023nvlv
frc4,Gracious Professionalism Award,2024,2024caoc
frc4,Regional Finalists,2024,2024caoc
frc4,Team Spirit Award,2024,2024caph
frc4,Finalist,2024,2024catt
frc5,Regional Finalist,1999,1999mi
frc5,Featherweight in the Finals,1999,1999mi
frc5,Featherweight in the Finals,2000,2000mi
frc5,Quality,2001,2001va
frc5,Incredible Play,2001,2001va
frc5,Kleiner Perkins Caufield & Byers Entrepreneurship,2002,2002on
frc5,Xerox Creativity Award,2003,2003pit
frc5,Regional Winner,2004,2004dt
frc5,Regional Winner,2004,2004pit
frc5,"Delphi ""Driving Tomorrow's Technology"" Award",2004,2004sc
frc6,Regional Finalist,2001,2001il
frc7,Judges' Award,1998,1998nj
frc7,#1 Seed,1999,1999pa
frc7,Judges' Award,2000,2000va
frc7,Regional Winner,2002,2002nj
frc7,GM Industrial Design Award,2002,2002nj
frc7,Kleiner Perkins Caufield & Byers Entrepreneurship,2004,2004md
frc7,Judges' Award,2005,2005md
frc7,Regional Finalist,2005,2005md
frc8,Regional Finalist,2001,2001ca2
frc8,Regional Winner,2006,2006nv
frc8,Regional Finalist,2008,2008sj
frc8,Rockwell Automation Innovation in Control Award,2009,2009nv
frc8,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2015,2015cama
frc8,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2015,2015casj
frc8,Regional Finalists,2016,2016cama
frc8,Wildcard,2016,2016cama
frc8,Regional Finalists,2017,2017casj
frc8,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2017,2017casj
frc8,Wildcard,2017,2017casj
frc8,Creativity Award sponsored by Xerox,2017,2017cave
frc8,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2017,2017cave
frc8,FIRST Dean's List Finalist Award,2017,2017cave
frc8,FIRST Dean's List Award,2017,2017cmptx
frc8,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2018,2018azfl
frc8,Founders Award,2019,2019cacg
frc8,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2019,2019cadm
frc8,FIRST Dean's List Finalist Award,2019,2019cadm
frc8,Gracious Professionalism Award sponsored by Johnson & Johnson,2019,2019casj
frc8,Autonomous Award sponsored by Ford,2019,2019ndgf
frc8,Regional Winners,2020,2020utwv
frc8,Quality Award sponsored by Motorola Solutions Foundation,2020,2020utwv
frc8,Concept Award,2021,2021gamo
frc8,FIRST Innovation Challenge Semi-Finalist Award,2021,2021innco
frc8,Autonomous Award sponsored by Ford,2021,2021irhcs
frc8,Finalist,2022,2022cacg
frc8,Innovation in Control Award,2022,2022cave
frc8,FIRST Dean's List Finalist Award,2023,2023utwv
frc8,Team Sustainability Award,2023,2023utwv
frc8,Regional FIRST Impact Award,2024,2024cave
frc9,Regional Finalist,1999,1999il
frc9,Regional Finalist,2001,2001il
frc9,Judges Award - Friday,2002,2002mi
frc9,Judges Award Friday,2003,2003mi
frc9,Website Design Award,2003,2003mi
frc10,Rookie All-Star,1998,1998il
frc10,Most Photogenic Award,1999,1999fl
frc10,Outstanding Defense,1999,1999fl
frc10,Featherweight in the Finals,2000,2000fl
frc11,Teacher Pioneer Award,1999,1999cmp
frc11,Outstanding Defense,1999,1999nj
frc11,Regional Finalist,2002,2002nj
frc11,Xerox Creativity Award,2002,2002on
frc11,Regional Winner,2004,2004sc
frc11,DaimlerChrysler Team Spirit Award,2004,2004sc
frc11,Regional Chairman's Award,2005,2005nj
frc11,Judge's Award,2005,2005sc
frc11,Autodesk Visualization,2005,2005sc
frc11,Regional Winner,2006,2006sc
frc11,Imagery Award,2006,2006sc
frc11,"Delphi ""Driving Tomorrow's Technology"" Award",2007,2007ny
frc11,Regional Winner,2008,2008md
frc11,Regional Finalist,2008,2008nj
frc11,Woodie Flowers Award,2008,2008nj
frc11,Team Spirit Award,2009,2009nj
frc11,Leadership in Controls,2010,2010nj
frc11,Regional Chairman's Award,2011,2011sc
frc11,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2011,2011sc
frc11,Excellence in Design Award sponsored by Autodesk,2011,2011sc
frc11,Website Award,2011,2011sc
frc11,Engineering Excellence Award sponsored by Delphi,2011,2011va
frc11,Regional Chairman's Award,2012,2012nj
frc11,Website Award,2012,2012nj
frc11,Gracious Professionalism Award sponsored by Johnson & Johnson,2012,2012njf
frc11,Industrial Safety Award sponsored by Underwriters Laboratories,2012,2012njf
frc11,Industrial Safety Award sponsored by Underwriters Laboratories,2012,2012pa
frc11,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2012,2012pa
frc11,Engineering Excellence Award sponsored by Delphi,2012,2012sc
frc11,Website Award,2012,2012sc
frc11,Regional Finalists,2013,2013mrcmp
frc11,Regional Chairman's Award,2013,2013njbrg
frc11,District Winners,2013,2013njfla
frc11,Industrial Design Award sponsored by General Motors,2013,2013njfla
frc11,Regional Winners,2013,2013scmb
frc11,Quality Award sponsored by Motorola,2013,2013scmb
frc11,Regional Chairman's Award,2014,2014hiho
frc11,Regional Winner,2014,2014mrcmp
frc11,Industrial Design Award sponsored by General Motors,2014,2014njfla
frc11,Industrial Design Award sponsored by General Motors,2014,2014paphi
frc11,Quality Award sponsored by Motorola,2015,2015hiho
frc11,District Event Finalist,2015,2015njfla
frc11,Judges' Award,2015,2015njnbr
frc11,District Event Finalist,2015,2015njnbr
frc11,District Engineering Inspiration Award,2015,2015pahat
frc11,Regional Chairman's Award,2016,2016flwp
frc11,Excellence in Engineering Award sponsored by Delphi,2016,2016njfla
frc11,District Event Winner,2016,2016paphi
frc11,District Engineering Inspiration Award,2016,2016paphi
frc11,Safety Award sponsored by Underwriters Laboratories,2017,2017njfla
frc11,Team Spirit Award sponsored by FCA Foundation,2017,2017njfla
frc11,Finalist,2017,2017njmm
frc11,Safety Award sponsored by Underwriters Laboratories,2017,2017njski
frc11,District Event Finalist,2017,2017njski
